episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
0,179,179,4.1,5,died
1,404,225,1.1,2,died
2,581,177,2.1,3,died
3,754,173,1.1,2,died
4,907,153,3.1,4,died
5,1073,166,2.1,3,died
6,1253,180,2.1,3,died
7,1473,220,1.1,2,died
8,1572,99,1.1,2,died
9,1724,152,0.1,1,died
10,1969,245,1.1,2,died
11,2133,164,2.1,3,died
12,2325,192,0.1,1,died
13,2530,205,0.1,1,died
14,2720,190,0.1,1,died
15,2942,222,2.1,3,died
16,3134,192,3.1,4,died
17,3247,113,1.1,2,died
18,3416,169,0.1,1,died
19,3600,184,3.1,4,died
20,3739,139,0.1,1,died
21,3867,128,0.1,1,died
22,4013,146,2.1,3,died
23,4229,216,0.1,1,died
24,4365,136,0.1,1,died
25,4566,201,3.1,4,died
26,4800,234,3.1,4,died
27,4977,177,1.1,2,died
28,5121,144,3.1,4,died
29,5334,213,3.1,4,died
30,5517,183,2.1,3,died
31,5696,179,2.1,3,died
32,5841,145,2.1,3,died
33,6077,236,3.1,4,died
34,6254,177,3.1,4,died
35,6471,217,0.1,1,died
36,6614,143,2.1,3,died
37,6778,164,2.1,3,died
38,6937,159,2.1,3,died
39,7082,145,0.1,1,died
40,7253,171,3.1,4,died
41,7416,163,3.1,4,died
42,7579,163,2.1,3,died
43,7768,189,3.1,4,died
44,7974,206,3.1,4,died
45,8197,223,1.1,2,died
46,8356,159,2.1,3,died
47,8498,142,2.1,3,died
48,8611,113,2.1,3,died
49,8768,157,2.1,3,died
50,8941,173,0.1,1,died
51,9110,169,2.1,3,died
52,9362,252,3.1,4,died
53,9494,132,1.1,2,died
54,9632,138,0.1,1,died
55,9800,168,2.1,3,died
56,9961,161,0.1,1,died
57,10169,208,2.1,3,died
58,10360,191,2.1,3,died
59,10463,103,1.1,2,died
60,10638,175,2.1,3,died
61,10821,183,2.1,3,died
62,10908,87,0.1,1,died
63,11300,392,4.1,5,died
64,11497,197,1.1,2,died
65,11772,275,3.1,4,died
66,11906,134,0.1,1,died
