episode_id,timestep,episode_len,train_episode_return,num_achievements_unlocked,termination_reason
0,36,36,0.1,0,died
1,217,181,0.5,1,died
2,392,175,0.8,3,died
3,556,164,0.8,3,died
4,744,188,0.8,3,died
5,912,168,0.4,1,died
6,1091,179,0.8,3,died
7,1262,171,0.8,3,died
8,1463,201,1.1,4,died
9,1608,145,1.1,3,died
10,1778,170,0.7,3,died
11,1919,141,0.4,1,died
12,2111,192,0.4,1,died
13,2347,236,1.1,3,died
14,2514,167,0.5,1,died
15,2679,165,0.5,2,died
16,2830,151,0.7,3,died
17,3036,206,1.0,4,died
18,3227,191,0.9,4,died
19,3290,63,0.1,0,died
20,3448,158,0.6,1,died
21,3603,155,1.0,3,died
22,3819,216,1.3,3,died
23,4013,194,1.0,4,died
24,4057,44,0.1,0,died
25,4086,29,0.1,0,died
26,4235,149,0.8,2,died
27,4419,184,1.1,3,died
28,4627,208,0.7,2,died
29,4820,193,1.0,3,died
30,4972,152,0.6,2,died
31,5119,147,1.1,3,died
32,5186,67,0.2,1,died
33,5327,141,0.7,2,died
34,5505,178,0.9,4,died
35,5667,162,0.8,3,died
36,5818,151,0.5,1,died
37,6020,202,0.7,1,died
38,6169,149,0.9,4,died
39,6328,159,0.5,1,died
40,6416,88,0.7,3,died
41,6606,190,0.8,4,died
42,6684,78,0.3,1,died
43,6848,164,1.1,3,died
44,6902,54,0.1,0,died
45,7059,157,1.0,4,died
46,7263,204,1.2,5,died
47,7435,172,0.7,2,died
48,7602,167,0.9,3,died
49,7849,247,0.7,1,died
50,7912,63,0.1,0,died
51,8107,195,0.8,3,died
52,8195,88,0.4,0,died
53,8362,167,0.7,3,died
54,8515,153,0.7,2,died
55,8551,36,0.3,1,died
56,8756,205,0.9,3,died
57,8900,144,0.9,3,died
58,9078,178,0.7,2,died
59,9226,148,0.7,2,died
60,9379,153,1.2,3,died
61,9523,144,0.5,1,died
62,9625,102,0.6,1,died
63,9797,172,0.7,3,died
64,9962,165,0.8,3,died
65,10134,172,0.5,4,died
66,10324,190,1.2,4,died
67,10493,169,0.6,2,died
68,10657,164,0.5,1,died
69,10814,157,1.0,4,died
70,10947,133,0.7,2,died
71,11178,231,0.9,3,died
72,11383,205,0.8,2,died
73,11503,120,0.3,2,died
74,11692,189,0.8,2,died
75,11887,195,0.7,1,died
76,12076,189,0.7,3,died
77,12211,135,0.6,3,died
78,12370,159,1.4,5,died
79,12524,154,0.5,1,died
80,12707,183,1.3,5,died
81,12852,145,0.6,1,died
82,12943,91,0.4,1,died
83,13174,231,1.2,3,died
84,13367,193,1.2,5,died
85,13618,251,1.2,4,died
86,13786,168,0.9,4,died
87,13949,163,1.3,4,died
88,14106,157,1.0,3,died
89,14235,129,0.5,3,died
90,14399,164,1.0,3,died
91,14623,224,0.7,1,died
92,14800,177,1.1,4,died
93,15063,263,2.0,6,died
94,15214,151,0.8,4,died
95,15332,118,0.6,3,died
96,15506,174,0.5,1,died
97,15659,153,1.0,4,died
98,15805,146,1.0,3,died
99,15948,143,1.4,4,died
100,16087,139,1.1,4,died
101,16250,163,0.5,0,died
102,16414,164,1.0,2,died
103,16573,159,1.2,4,died
104,16799,226,0.9,3,died
105,16976,177,0.9,4,died
106,17159,183,1.2,4,died
107,17310,151,1.15,2,died
108,17714,404,2.7,7,died
109,17925,211,1.3,3,died
110,17963,38,0.4,2,died
111,18150,187,0.9,3,died
112,18320,170,1.35,5,died
113,18455,135,0.5,0,died
114,18650,195,0.8,2,died
115,18836,186,1.05,3,died
116,18990,154,0.8,3,died
117,19209,219,1.0,3,died
118,19379,170,1.3,5,died
119,19543,164,0.9,4,died
120,19701,158,1.4,5,died
121,19868,167,1.3,4,died
122,20034,166,0.9,3,died
123,20214,180,1.1,4,died
124,20383,169,1.3,5,died
125,20498,115,0.7,3,died
126,20746,248,1.6,4,died
127,20998,252,1.4,5,died
128,21227,229,1.1,3,died
129,21432,205,0.9,3,died
130,21637,205,0.7,1,died
131,21806,169,0.7,2,died
132,21993,187,0.8,3,died
133,22127,134,0.9,4,died
134,22368,241,0.6,1,died
135,22517,149,0.7,2,died
136,22754,237,1.6,4,died
137,22966,212,0.8,1,died
138,23120,154,0.7,2,died
139,23271,151,0.8,4,died
140,23419,148,1.2,4,died
141,23581,162,1.1,4,died
142,23637,56,0.1,0,died
143,23767,130,1.0,4,died
144,23927,160,0.9,3,died
145,24102,175,1.0,4,died
146,24252,150,1.0,3,died
147,24414,162,1.55,6,died
148,24582,168,0.9,2,died
149,24762,180,0.8,3,died
150,24926,164,0.8,2,died
151,25091,165,0.9,3,died
152,25160,69,0.4,1,died
153,25308,148,1.4,5,died
154,25498,190,1.1,4,died
155,25677,179,1.7,6,died
156,25808,131,0.6,3,died
157,25995,187,1.3,4,died
158,26148,153,0.9,2,died
159,26343,195,1.7,5,died
160,26571,228,0.9,3,died
161,26775,204,1.2,2,died
162,26931,156,0.6,2,died
163,27091,160,1.2,2,died
164,27236,145,0.8,3,died
165,27422,186,1.2,3,died
166,27472,50,0.1,0,died
167,27657,185,0.6,1,died
168,27818,161,0.8,2,died
169,28021,203,1.2,3,died
170,28169,148,0.8,4,died
171,28311,142,1.2,2,died
172,28475,164,1.0,3,died
173,28661,186,1.1,3,died
174,28812,151,1.2,5,died
175,28909,97,0.6,2,died
176,29110,201,1.0,3,died
177,29197,87,0.1,0,died
178,29405,208,1.3,4,died
179,29584,179,1.3,4,died
180,29740,156,1.0,4,died
181,29947,207,1.3,4,died
182,30118,171,0.9,3,died
183,30295,177,1.0,3,died
184,30480,185,1.85,8,died
185,30609,129,1.0,5,died
186,30762,153,1.1,3,died
187,30987,225,1.2,4,died
188,31074,87,0.9,2,died
189,31255,181,1.3,4,died
190,31454,199,1.1,4,died
191,31634,180,1.0,2,died
192,31800,166,1.2,4,died
193,31962,162,0.8,1,died
194,32142,180,1.1,4,died
195,32340,198,1.3,5,died
196,32489,149,1.1,2,died
197,32646,157,0.8,2,died
198,32816,170,1.0,4,died
199,32994,178,1.7,6,died
200,33147,153,1.3,3,died
201,33336,189,0.9,2,died
202,33523,187,0.6,2,died
203,33731,208,2.2,7,died
204,33978,247,1.7,4,died
205,34126,148,1.0,3,died
206,34286,160,1.3,5,died
207,34498,212,1.7,6,died
208,34714,216,1.45,3,died
209,34898,184,1.7,4,died
210,35058,160,1.8,5,died
211,35194,136,1.65,4,died
212,35362,168,1.0,3,died
213,35563,201,1.2,2,died
214,35757,194,1.5,4,died
215,35905,148,1.0,3,died
216,36071,166,1.3,3,died
217,36253,182,0.7,1,died
218,36446,193,1.7,5,died
219,36642,196,1.1,3,died
220,36826,184,1.2,5,died
221,37001,175,1.3,2,died
222,37146,145,0.9,2,died
223,37308,162,0.8,2,died
224,37491,183,0.6,1,died
225,37681,190,1.3,4,died
226,37850,169,0.9,2,died
227,38033,183,1.1,4,died
228,38185,152,0.9,4,died
229,38376,191,1.3,3,died
230,38443,67,0.5,1,died
231,38630,187,1.4,6,died
232,38779,149,1.2,2,died
233,38975,196,1.6,4,died
234,39152,177,1.0,6,died
235,39289,137,0.9,2,died
236,39527,238,1.3,3,died
237,39593,66,0.4,1,died
238,39792,199,1.1,3,died
239,39897,105,0.7,3,died
240,40096,199,1.0,2,died
241,40243,147,1.15,5,died
242,40428,185,1.2,3,died
243,40590,162,1.4,5,died
244,40780,190,1.1,4,died
245,40966,186,1.7,6,died
246,41130,164,1.3,4,died
247,41295,165,0.9,4,died
248,41423,128,1.05,2,died
249,41614,191,1.8,6,died
250,41774,160,1.55,3,died
251,41921,147,1.4,5,died
252,42096,175,1.4,5,died
253,42291,195,1.3,4,died
254,42472,181,1.4,4,died
255,42507,35,0.5,3,died
256,42667,160,1.2,4,died
257,42867,200,0.9,3,died
258,43062,195,1.5,4,died
259,43256,194,1.3,3,died
